Name,Developer
Call of Duty: Advanced Warfare,Sledgehammer Games
Minecraft,
Assassin's Creed II,Ubisoft Montreal
Tomb Raider II,Core Design Ltd.
Madden NFL 2004,EA Tiburon
Tomodachi Life,
New Super Mario Bros. U,Nintendo
Dragon Quest VIII: Journey of the Cursed King,Level 5
Super Mario Bros. 3,
Professor Layton and the Curious Village,Level 5
Super Mario Land 3: Wario Land,
FIFA Soccer 13,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,
Diablo III,Blizzard Entertainment
Medal of Honor: Rising Sun,EA LA
Kirby's Dream Land,
Microsoft Flight Simulator,
Guitar Hero II,Harmonix Music Systems
Fable III,Lionhead Studios
Mario & Sonic at the Olympic Games,
Resident Evil 5,Capcom
The Legend of Zelda: Phantom Hourglass,Nintendo
Super Mario Bros.,
FIFA Soccer 11,EA Sports
Resident Evil,Capcom
Grand Theft Auto: Vice City Stories,Rockstar Leeds
Tony Hawk's Pro Skater,Neversoft Entertainment
Warzone 2100,
Spyro the Dragon,
Guitar Hero III: Legends of Rock,"Neversoft Entertainment, BudCat"
Link's Crossbow Training,Nintendo
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,
Fallout 3,Bethesda Game Studios
Uncharted: Drake's Fortune,"Naughty Dog, SCE/WWS"
Madden NFL 06,EA Sports
Diddy Kong Racing,
Monster Hunter Freedom 3,
Super Smash Bros. for Wii U and 3DS,
Dr. Mario,
StarCraft II: Wings of Liberty,Blizzard Entertainment
Assassin's Creed,Ubisoft Montreal
God of War III,SCE Santa Monica
Crash Team Racing,Naughty Dog
LEGO Star Wars: The Complete Saga,TT Fusion
Driver 2,Reflections Interactive
Batman: Arkham City,Rocksteady Studios
The Last of Us,
The Simpsons: Hit & Run,
Tony Hawk's Pro Skater 2,Neversoft Entertainment
The Lord of the Rings: The Two Towers,Stormfront Studios
Tomb Raider,Core Design Ltd.
Animal Crossing: City Folk,Nintendo
Uncharted: The Nathan Drake Collection,Bluepoint Games
The Legend of Zelda: A Link to the Past,
The Legend of Zelda: The Wind Waker,Nintendo
Guitar Hero III: Legends of Rock,Vicarious Visions
Luigi's Mansion: Dark Moon,Next Level Games
Forza Motorsport 4,Turn 10
Mario & Sonic at the Olympic Winter Games,
Madden NFL 2005,EA Tiburon
Guitar Hero III: Legends of Rock,Neversoft Entertainment
Pitfall!,
Madden NFL 07,EA Sports
Halo 5: Guardians,343 Industries
Spider-Man: The Movie,Treyarch
Dragon Quest VII: Warriors of Eden,
Call of Duty: Infinite Warfare,Infinity Ward
God of War,SCE Santa Monica
Splatoon,Nintendo
Nintendo Land,Nintendo
Tony Hawk's Pro Skater 3,Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007,Konami
The Elder Scrolls IV: Oblivion,Bethesda Softworks
Zelda II: The Adventure of Link,
Need for Speed: Most Wanted,EA Canada
Michael Jackson: The Experience,"Ubisoft Paris, Ubisoft Montpellier"
Call of Duty: Advanced Warfare,High Moon Studios
Resistance: Fall of Man,Insomniac Games
Sonic the Hedgehog,
Kingdom Hearts II,Square Enix
The Legend of Zelda: Ocarina of Time,
Super Mario 3D World,Nintendo
Minecraft,
Asteroids,
Call of Duty: Advanced Warfare,High Moon Studios
FIFA 15,EA Sports
Fable II,Lionhead Studios
Namco Museum,Mass Media
Batman: Arkham Asylum,Rocksteady Studios
Metal Gear Solid 3: Snake Eater,KCEJ
Assassin's Creed: Revelations,Ubisoft Montreal
Fallout 4,Bethesda Game Studios
FIFA 14,EA Canada
Daxter,Ready at Dawn
Warcraft II: Tides of Darkness,
FIFA Soccer 06,EA Canada
EyeToy Play,"SCEE, Zoe Mode"
Gran Turismo 5 Prologue,Polyphony Digital
Assassin's Creed: Revelations,Ubisoft Montreal
FIFA 12,
Teenage Mutant Ninja Turtles,
Street Fighter IV,Capcom
Excitebike,
Frogger,
Madden NFL 2003,EA Sports
Half-Life,Valve Software
Super Mario World 2: Yoshi's Island,
FIFA Soccer 07,
Street Fighter II Turbo,
World of Warcraft: The Burning Crusade,Blizzard Entertainment
Battlefield 1,EA DICE
God of War II,SCE Santa Monica
World Soccer Winning Eleven 9,Konami
Fallout: New Vegas,Obsidian Entertainment
Forza Motorsport 2,Turn 10
Carnival Games,Cat Daddy Games
Watch Dogs,Ubisoft Montreal
